Date,Open,High,Low,Close,Volume
02-04-2001,1601.8,1601.8,1499.15,1534.55,8347827
03-04-2001,1530.7,1564.5,1524,1554.5,17195866
04-04-2001,1550.6,1550.6,1512.75,1535.55,12592899
06-04-2001,1536.75,1573.1,1498.55,1507.15,14659151
09-04-2001,1507.95,1513.45,1492.95,1507.45,10557648
10-04-2001,1506.6,1506.75,1463.85,1472.35,10909015
11-04-2001,1473.15,1486.8,1435.7,1442.4,13349305
12-04-2001,1442,1442,1362.5,1392.9,12527542
16-04-2001,1390.85,1420.8,1382.2,1415.6,13246270
17-04-2001,1415.4,1465.45,1408,1459.25,16687995
18-04-2001,1460.45,1532.85,1460.45,1528.85,17916004
19-04-2001,1529.1,1602.25,1529.1,1553.45,20524669
20-04-2001,1554.05,1566.5,1520.3,1554.95,21217743
23-04-2001,1556.75,1572.6,1544.4,1565.15,21353836
24-04-2001,1564.8,1598.2,1548.05,1592.25,28206132
25-04-2001,1597.1,1627.05,1580.6,1619.1,25343315
26-04-2001,1622.6,1638.05,1583.05,1591.3,26337530
27-04-2001,1587.3,1587.3,1497.65,1503.5,12597032
30-04-2001,1500.4,1530.2,1487.7,1525.2,27167206
02-05-2001,1529.05,1564.2,1529.05,1545.45,24351726
03-05-2001,1544.4,1555.7,1518.05,1522,19513167
04-05-2001,1522.7,1541.4,1506.45,1537.1,21583543
07-05-2001,1537.6,1573.85,1537.6,1566.45,27162157
08-05-2001,1565.75,1590.6,1562,1583.6,23733711
09-05-2001,1585,1596.4,1557.3,1561.15,20249710
10-05-2001,1560.95,1577.6,1558.8,1564.9,17639812
11-05-2001,1565.75,1566.1,1541.05,1544,14121408
14-05-2001,1543.95,1555.75,1538,1540.45,11227986
15-05-2001,1540.25,1540.25,1472.4,1524.5,15295923
16-05-2001,1525.65,1578,1525.65,1566.15,18422860
17-05-2001,1566.35,1588.35,1566.35,1580.5,12713398
18-05-2001,1580.3,1594.95,1580.3,1587.85,14784341
21-05-2001,1587.95,1599.85,1577.35,1578.7,18764649
22-05-2001,1578.75,1597.6,1578.75,1593.1,16848474
23-05-2001,1594.1,1625.7,1594.1,1622.1,17275935
24-05-2001,1621.95,1635.1,1610.4,1614.2,14061786
25-05-2001,1614.6,1621.65,1599.55,1611.6,18886862
28-05-2001,1612.15,1637.6,1612.15,1636.55,24414342
29-05-2001,1636.65,1654.6,1636.45,1652.35,23444264
30-05-2001,1651.95,1676.25,1631.9,1638.15,19053003
31-05-2001,1637.5,1637.5,1597.7,1627.15,18480372
01-06-2001,1627.55,1638.9,1612.6,1614.45,31188479
04-06-2001,1614.7,1623.2,1575.95,1578.75,17607933
05-06-2001,1578.95,1583.35,1552.8,1557.3,23078437
06-06-2001,1559.25,1584.55,1559.25,1568.85,20712724
07-06-2001,1569.15,1569.45,1518.75,1540.6,19988536
08-06-2001,1541.25,1562.55,1541.25,1558.85,16021277
11-06-2001,1559.15,1569.45,1558.9,1566.55,12322466
12-06-2001,1566.5,1566.5,1547.6,1558.75,15097063
13-06-2001,1559.4,1576.55,1559.05,1570.9,11716057
14-06-2001,1570.5,1570.6,1545.05,1547.05,16006376
15-06-2001,1547.3,1547.4,1503.5,1508.75,18682548
18-06-2001,1508.2,1508.2,1461.35,1484.8,15151989
19-06-2001,1484.25,1503.6,1479.2,1499.05,22100507
20-06-2001,1499.9,1502.5,1489.55,1497.9,14275799
21-06-2001,1497.55,1498.95,1476.95,1480.95,15712067
22-06-2001,1480.75,1482.05,1446.6,1450.8,16175912
25-06-2001,1450.25,1450.25,1407.85,1409,12397037
26-06-2001,1407.15,1438.55,1397.6,1431.1,22157049
27-06-2001,1432.8,1451,1428.4,1435.4,25057332
28-06-2001,1436.4,1439.95,1420.95,1423.05,21890109
29-06-2001,1423.15,1427.75,1405.95,1415.4,24449095
02-07-2001,1416.45,1438.25,1411.85,1424.45,9666183
03-07-2001,1423.1,1423.1,1392.05,1396,9655082
04-07-2001,1395.15,1407.05,1380.35,1384.15,8864578
05-07-2001,1384.4,1391,1376.35,1385.5,8882647
06-07-2001,1384.75,1388,1371.75,1373.9,9685569
09-07-2001,1373.65,1390.5,1369.05,1386.4,10938355
10-07-2001,1386.8,1402.3,1379,1382.5,12466015
11-07-2001,1382.05,1387.7,1373.7,1381.9,5904863
12-07-2001,1382.2,1418.3,1382.2,1414.7,10132236
13-07-2001,1416.3,1432.35,1407.15,1413.05,13689096
16-07-2001,1412.8,1419,1392.9,1394.05,7544398
17-07-2001,1393.6,1403,1388.75,1399.25,9820836
18-07-2001,1399.95,1409.95,1398.85,1400.5,7077850
19-07-2001,1400.15,1403.85,1391.3,1400.3,5912872
20-07-2001,1400.6,1405.3,1376.5,1380.05,6556059
23-07-2001,1379.3,1381.6,1364.9,1367.3,475850
24-07-2001,1366.8,1368.7,1349.45,1354.85,8305513
25-07-2001,1354.75,1357.4,1317.05,1319.75,7235051
26-07-2001,1319.4,1320,1304.25,1306.9,9008825
27-07-2001,1307.3,1331.2,1307.3,1323.3,10339552
30-07-2001,1323.8,1350.25,1315.1,1345.2,10679742
31-07-2001,1344.35,1348.15,1332.55,1342.55,7967260
01-08-2001,1341.9,1351.2,1333.85,1337.7,7085576
02-08-2001,1337.45,1349.3,1333.9,1346.35,7964416
03-08-2001,1346.25,1364.6,1346.1,1354.95,10383244
06-08-2001,1355.1,1370.25,1346.4,1350.15,8959070
07-08-2001,1350.35,1356.4,1337.8,1339.2,6615522
08-08-2001,1339,1343.25,1325.35,1326.55,4919150
09-08-2001,1326.45,1328.7,1315.2,1316.6,3290404
10-08-2001,1316.55,1331.95,1308.85,1310.45,3869691
13-08-2001,1309.2,1320.95,1309.2,1316.95,2928494
14-08-2001,1317.25,1324.5,1313.1,1320.05,4592969
16-08-2001,1319.65,1327.3,1318.05,1321.3,6221993
17-08-2001,1321.6,1335.9,1319.95,1325.15,5144092
20-08-2001,1325.05,1327.45,1311.1,1311.85,5645291
21-08-2001,1312.3,1324.6,1308.7,1314,12820159
23-08-2001,1314.2,1326.6,1306.05,1308.95,5966402
24-08-2001,1309.3,1316.05,1302.7,1303.95,6830660
27-08-2001,1304.05,1319.65,1304.05,1312.4,7751019
28-08-2001,1313.15,1319.65,1302.65,1304.35,10797286
29-08-2001,1304.25,1313.45,1297.65,1299.85,5639585
30-08-2001,1299.85,1305.75,1290.55,1293.6,5328327
31-08-2001,1294.5,1296.5,1275.2,1277.35,5396036
03-09-2001,1278.25,1287.8,1277.35,1281,5916153
04-09-2001,1281,1284.6,1270.9,1276.7,7373873
05-09-2001,1278.05,1283.65,1271.75,1274.6,4389542
06-09-2001,1274.6,1292,1274.05,1276,6139225
07-09-2001,1276,1276,1264.05,1266.15,7781863
10-09-2001,1250.35,1276.2,1250.3,1264.25,4981151
11-09-2001,1264.9,1274.1,1245.8,1249.55,4269642
12-09-2001,1235.85,1239.7,1182.7,1208.05,7765421
13-09-2001,1208.35,1221.2,1207,1209.15,4391300
14-09-2001,1208.5,1209.05,1123.95,1136.5,6053793
17-09-2001,1134.95,1134.95,1040.25,1046.7,7647829
18-09-2001,1046.05,1098.5,1038.75,1086.4,8842423
19-09-2001,1084,1115.85,1083.1,1107.4,9742460
20-09-2001,1106.05,1106.05,1066.55,1078.25,9683964
21-09-2001,1076.4,1076.4,1046.45,1054.8,7132583
24-09-2001,1055.15,1076,1053.9,1068.05,8118683
25-09-2001,1068.25,1089.45,1055.95,1057.8,10158901
26-09-2001,1057.7,1060.3,1048.15,1054.9,7633142
27-09-2001,1055.25,1069.5,1051.2,1065.95,5253889
28-09-2001,1066.25,1090.1,1065.85,1084.4,7568211
01-10-2001,1083.7,1087.45,1067.95,1070.3,5390853
03-10-2001,1069.95,1077.55,1058.8,1061.7,5135124
04-10-2001,1060.25,1073.4,1060.25,1072.2,3906050
05-10-2001,1072.3,1088.75,1067.95,1087,3894172
08-10-2001,1083.05,1084.35,1044.9,1071,8755836
09-10-2001,1071.2,1085.15,1071.2,1083.15,5273516
10-10-2001,1082.9,1093.25,1082.7,1091.35,8054821
11-10-2001,1089,1101.2,1086.9,1091.05,12880950
12-10-2001,1091.85,1109.2,1087,1096.6,11540333
15-10-2001,1096.4,1107.4,1096.4,1104.7,7203086
16-10-2001,1104.75,1116.4,1103.05,1111.85,11293584
17-10-2001,1112.25,1132.4,1112.25,1127.55,22978799
18-10-2001,1127.75,1131.1,1117.5,1120.35,16662680
19-10-2001,1120.55,1130.15,1120.55,1127.7,10094669
22-10-2001,1128.6,1161.6,1128.25,1146.5,23652511
23-10-2001,1147.15,1170.05,1147.15,1162.9,22594806
24-10-2001,1163.4,1176.85,1161.75,1167,18889495
